-----------------------------------
Forwarding Table for Node 0:
Destination Node      Outgoing Link
10                       (29,2)
11                       (29,2)
12                       (29,2)
13                       (29,2)
14                       (29,2)
15                       (29,2)
16                       (29,2)
17                       (29,2)
18                       (29,2)
19                       (29,2)
20                       (29,2)
21                       (29,2)
22                       (29,2)
23                       (29,2)
24                       (29,2)
25                       (29,2)
26                       (29,2)
27                       (29,2)
28                       (29,2)
30                       (29,2)
31                       (29,2)
32                       (29,2)
33                       (29,2)
34                       (29,2)
35                       (29,2)
36                       (29,2)
37                       (29,2)
38                       (29,2)
39                       (29,2)
40                       (29,2)
41                       (29,2)
42                       (29,2)
43                       (29,2)
44                       (29,2)
45                       (29,2)
46                       (29,2)
47                       (29,2)
48                       (29,2)
49                       (29,2)
-----------------------------------
Forwarding Table for Node 30:
Destination Node      Outgoing Link
0                       (30,7)
1                       (30,7)
2                       (30,7)
3                       (30,7)
4                       (30,7)
5                       (30,7)
6                       (30,7)
7                       (30,7)
8                       (30,7)
9                       (30,7)
10                       (30,7)
11                       (30,7)
12                       (30,7)
13                       (30,7)
14                       (30,7)
15                       (30,7)
16                       (30,7)
17                       (30,7)
18                       (30,7)
19                       (30,7)
20                       (30,7)
21                       (30,7)
22                       (30,7)
23                       (30,7)
24                       (30,7)
25                       (30,7)
26                       (30,7)
27                       (30,7)
28                       (30,7)
29                       (30,7)
31                       (30,7)
32                       (30,7)
33                       (30,7)
34                       (30,7)
35                       (30,7)
36                       (30,7)
37                       (30,7)
38                       (30,7)
39                       (30,7)
40                       (30,7)
41                       (30,7)
42                       (30,7)
43                       (30,7)
44                       (30,7)
45                       (30,7)
46                       (30,7)
47                       (30,7)
48                       (30,7)
49                       (30,7)
-----------------------------------
Forwarding Table for Node 31:
Destination Node      Outgoing Link
0                       (31,4)
1                       (31,4)
2                       (31,4)
3                       (31,4)
4                       (31,4)
5                       (31,4)
6                       (31,4)
7                       (31,4)
8                       (31,4)
9                       (31,4)
10                       (31,4)
11                       (31,4)
12                       (31,4)
13                       (31,4)
14                       (31,4)
15                       (31,4)
16                       (31,4)
17                       (31,4)
18                       (31,4)
19                       (31,4)
20                       (31,4)
21                       (31,4)
22                       (31,4)
23                       (31,4)
24                       (31,4)
25                       (31,4)
26                       (31,4)
27                       (31,4)
28                       (31,4)
29                       (31,4)
30                       (31,4)
32                       (31,4)
33                       (31,4)
34                       (31,4)
35                       (31,4)
36                       (31,4)
37                       (31,4)
38                       (31,4)
39                       (31,4)
40                       (31,4)
41                       (31,4)
42                       (31,4)
43                       (31,4)
44                       (31,4)
45                       (31,4)
46                       (31,4)
47                       (31,4)
48                       (31,4)
49                       (31,4)
-----------------------------------
Forwarding Table for Node 32:
Destination Node      Outgoing Link
0                       (32,11)
1                       (32,11)
2                       (32,11)
3                       (32,11)
4                       (32,11)
5                       (32,11)
6                       (32,11)
7                       (32,11)
8                       (32,11)
9                       (32,11)
10                       (32,11)
11                       (32,11)
12                       (32,11)
13                       (32,11)
14                       (32,11)
15                       (32,11)
16                       (32,11)
17                       (32,11)
18                       (32,11)
19                       (32,11)
20                       (32,11)
21                       (32,11)
22                       (32,11)
23                       (32,11)
24                       (32,11)
25                       (32,11)
26                       (32,11)
27                       (32,11)
28                       (32,11)
29                       (32,11)
30                       (32,11)
31                       (32,11)
33                       (32,11)
34                       (32,11)
35                       (32,11)
36                       (32,11)
37                       (32,11)
38                       (32,11)
39                       (32,11)
40                       (32,11)
41                       (32,11)
42                       (32,11)
43                       (32,11)
44                       (32,11)
45                       (32,11)
46                       (32,11)
47                       (32,11)
48                       (32,11)
49                       (32,11)
-----------------------------------
Forwarding Table for Node 33:
Destination Node      Outgoing Link
0                       (33,6)
1                       (33,6)
2                       (33,6)
3                       (33,6)
4                       (33,6)
5                       (33,6)
6                       (33,6)
7                       (33,6)
8                       (33,6)
9                       (33,6)
10                       (33,6)
11                       (33,6)
12                       (33,6)
13                       (33,6)
14                       (33,6)
15                       (33,6)
16                       (33,6)
17                       (33,6)
18                       (33,6)
19                       (33,6)
20                       (33,6)
21                       (33,6)
22                       (33,6)
23                       (33,6)
24                       (33,6)
25                       (33,6)
26                       (33,6)
27                       (33,6)
28                       (33,6)
29                       (33,6)
30                       (33,6)
31                       (33,6)
32                       (33,6)
34                       (33,6)
35                       (33,6)
36                       (33,6)
37                       (33,6)
38                       (33,6)
39                       (33,6)
40                       (33,6)
41                       (33,6)
42                       (33,6)
43                       (33,6)
44                       (33,6)
45                       (33,6)
46                       (33,6)
47                       (33,6)
48                       (33,6)
49                       (33,6)
-----------------------------------
Forwarding Table for Node 34:
Destination Node      Outgoing Link
0                       (34,8)
1                       (34,8)
2                       (34,8)
3                       (34,8)
4                       (34,8)
5                       (34,8)
6                       (34,8)
7                       (34,8)
8                       (34,8)
9                       (34,8)
10                       (34,8)
11                       (34,8)
12                       (34,8)
13                       (34,8)
14                       (34,8)
15                       (34,8)
16                       (34,8)
17                       (34,8)
18                       (34,8)
19                       (34,8)
20                       (34,8)
21                       (34,8)
22                       (34,8)
23                       (34,8)
24                       (34,8)
25                       (34,8)
26                       (34,8)
27                       (34,8)
28                       (34,8)
29                       (34,8)
30                       (34,8)
31                       (34,8)
32                       (34,8)
33                       (34,8)
35                       (34,8)
36                       (34,8)
37                       (34,8)
38                       (34,8)
39                       (34,8)
40                       (34,8)
41                       (34,8)
42                       (34,8)
43                       (34,8)
44                       (34,8)
45                       (34,8)
46                       (34,8)
47                       (34,8)
48                       (34,8)
49                       (34,8)
-----------------------------------
Forwarding Table for Node 35:
Destination Node      Outgoing Link
0                       (35,6)
1                       (35,6)
2                       (35,6)
3                       (35,6)
4                       (35,6)
5                       (35,6)
6                       (35,6)
7                       (35,6)
8                       (35,6)
9                       (35,6)
10                       (35,6)
11                       (35,6)
12                       (35,6)
13                       (35,6)
14                       (35,6)
15                       (35,6)
16                       (35,6)
17                       (35,6)
18                       (35,6)
19                       (35,6)
20                       (35,6)
21                       (35,6)
22                       (35,6)
23                       (35,6)
24                       (35,6)
25                       (35,6)
26                       (35,6)
27                       (35,6)
28                       (35,6)
29                       (35,6)
30                       (35,6)
31                       (35,6)
32                       (35,6)
33                       (35,6)
34                       (35,6)
36                       (35,6)
37                       (35,6)
38                       (35,6)
39                       (35,6)
40                       (35,6)
41                       (35,6)
42                       (35,6)
43                       (35,6)
44                       (35,6)
45                       (35,6)
46                       (35,6)
47                       (35,6)
48                       (35,6)
49                       (35,6)
-----------------------------------
Forwarding Table for Node 36:
Destination Node      Outgoing Link
0                       (36,4)
1                       (36,4)
2                       (36,4)
3                       (36,4)
4                       (36,4)
5                       (36,4)
6                       (36,4)
7                       (36,4)
8                       (36,4)
9                       (36,4)
10                       (36,4)
11                       (36,4)
12                       (36,4)
13                       (36,4)
14                       (36,4)
15                       (36,4)
16                       (36,4)
17                       (36,4)
18                       (36,4)
19                       (36,4)
20                       (36,4)
21                       (36,4)
22                       (36,4)
23                       (36,4)
24                       (36,4)
25                       (36,4)
26                       (36,4)
27                       (36,4)
28                       (36,4)
29                       (36,4)
30                       (36,4)
31                       (36,4)
32                       (36,4)
33                       (36,4)
34                       (36,4)
35                       (36,4)
37                       (36,4)
38                       (36,4)
39                       (36,4)
40                       (36,4)
41                       (36,4)
42                       (36,4)
43                       (36,4)
44                       (36,4)
45                       (36,4)
46                       (36,4)
47                       (36,4)
48                       (36,4)
49                       (36,4)
-----------------------------------
Forwarding Table for Node 37:
Destination Node      Outgoing Link
0                       (37,8)
1                       (37,8)
2                       (37,8)
3                       (37,8)
4                       (37,8)
5                       (37,8)
6                       (37,8)
7                       (37,8)
8                       (37,8)
9                       (37,8)
10                       (37,8)
11                       (37,8)
12                       (37,8)
13                       (37,8)
14                       (37,8)
15                       (37,8)
16                       (37,8)
17                       (37,8)
18                       (37,8)
19                       (37,8)
20                       (37,8)
21                       (37,8)
22                       (37,8)
23                       (37,8)
24                       (37,8)
25                       (37,8)
26                       (37,8)
27                       (37,8)
28                       (37,8)
29                       (37,8)
30                       (37,8)
31                       (37,8)
32                       (37,8)
33                       (37,8)
34                       (37,8)
35                       (37,8)
36                       (37,8)
38                       (37,8)
39                       (37,8)
40                       (37,8)
41                       (37,8)
42                       (37,8)
43                       (37,8)
44                       (37,8)
45                       (37,8)
46                       (37,8)
47                       (37,8)
48                       (37,8)
49                       (37,8)
-----------------------------------
Forwarding Table for Node 38:
Destination Node      Outgoing Link
0                       (38,6)
1                       (38,6)
2                       (38,6)
3                       (38,6)
4                       (38,6)
5                       (38,6)
6                       (38,6)
7                       (38,6)
8                       (38,6)
9                       (38,6)
10                       (38,6)
11                       (38,6)
12                       (38,6)
13                       (38,6)
14                       (38,6)
15                       (38,6)
16                       (38,6)
17                       (38,6)
18                       (38,6)
19                       (38,6)
20                       (38,6)
21                       (38,6)
22                       (38,6)
23                       (38,6)
24                       (38,6)
25                       (38,6)
26                       (38,6)
27                       (38,6)
28                       (38,6)
29                       (38,6)
30                       (38,6)
31                       (38,6)
32                       (38,6)
33                       (38,6)
34                       (38,6)
35                       (38,6)
36                       (38,6)
37                       (38,6)
39                       (38,6)
40                       (38,6)
41                       (38,6)
42                       (38,6)
43                       (38,6)
44                       (38,6)
45                       (38,6)
46                       (38,6)
47                       (38,6)
48                       (38,6)
49                       (38,6)
-----------------------------------
Forwarding Table for Node 39:
Destination Node      Outgoing Link
0                       (39,8)
1                       (39,8)
2                       (39,8)
3                       (39,8)
4                       (39,8)
5                       (39,8)
6                       (39,8)
7                       (39,8)
8                       (39,8)
9                       (39,8)
10                       (39,8)
11                       (39,8)
12                       (39,8)
13                       (39,8)
14                       (39,8)
15                       (39,8)
16                       (39,8)
17                       (39,8)
18                       (39,8)
19                       (39,8)
20                       (39,8)
21                       (39,8)
22                       (39,8)
23                       (39,8)
24                       (39,8)
25                       (39,8)
26                       (39,8)
27                       (39,8)
28                       (39,8)
29                       (39,8)
30                       (39,8)
31                       (39,8)
32                       (39,8)
33                       (39,8)
34                       (39,8)
35                       (39,8)
36                       (39,8)
37                       (39,8)
38                       (39,8)
40                       (39,8)
41                       (39,8)
42                       (39,8)
43                       (39,8)
44                       (39,8)
45                       (39,8)
46                       (39,8)
47                       (39,8)
48                       (39,8)
49                       (39,8)
-----------------------------------
Forwarding Table for Node 40:
Destination Node      Outgoing Link
0                       (40,6)
1                       (40,6)
2                       (40,6)
3                       (40,6)
4                       (40,6)
5                       (40,6)
6                       (40,6)
7                       (40,6)
8                       (40,6)
9                       (40,6)
10                       (40,6)
11                       (40,6)
12                       (40,6)
13                       (40,6)
14                       (40,6)
15                       (40,6)
16                       (40,6)
17                       (40,6)
18                       (40,6)
19                       (40,6)
20                       (40,6)
21                       (40,6)
22                       (40,6)
23                       (40,6)
24                       (40,6)
25                       (40,6)
26                       (40,6)
27                       (40,6)
28                       (40,6)
29                       (40,6)
30                       (40,6)
31                       (40,6)
32                       (40,6)
33                       (40,6)
34                       (40,6)
35                       (40,6)
36                       (40,6)
37                       (40,6)
38                       (40,6)
39                       (40,6)
41                       (40,6)
42                       (40,6)
43                       (40,6)
44                       (40,6)
45                       (40,6)
46                       (40,6)
47                       (40,6)
48                       (40,6)
49                       (40,6)
-----------------------------------
Forwarding Table for Node 41:
Destination Node      Outgoing Link
0                       (41,4)
1                       (41,4)
2                       (41,4)
3                       (41,4)
4                       (41,4)
5                       (41,4)
6                       (41,4)
7                       (41,4)
8                       (41,4)
9                       (41,4)
10                       (41,4)
11                       (41,4)
12                       (41,4)
13                       (41,4)
14                       (41,4)
15                       (41,4)
16                       (41,4)
17                       (41,4)
18                       (41,4)
19                       (41,4)
20                       (41,4)
21                       (41,4)
22                       (41,4)
23                       (41,4)
24                       (41,4)
25                       (41,4)
26                       (41,4)
27                       (41,4)
28                       (41,4)
29                       (41,4)
30                       (41,4)
31                       (41,4)
32                       (41,4)
33                       (41,4)
34                       (41,4)
35                       (41,4)
36                       (41,4)
37                       (41,4)
38                       (41,4)
39                       (41,4)
40                       (41,4)
42                       (41,4)
43                       (41,4)
44                       (41,4)
45                       (41,4)
46                       (41,4)
47                       (41,4)
48                       (41,4)
49                       (41,4)
-----------------------------------
Forwarding Table for Node 42:
Destination Node      Outgoing Link
0                       (42,8)
1                       (42,8)
2                       (42,8)
3                       (42,8)
4                       (42,8)
5                       (42,8)
6                       (42,8)
7                       (42,8)
8                       (42,8)
9                       (42,8)
10                       (42,8)
11                       (42,8)
12                       (42,8)
13                       (42,8)
14                       (42,8)
15                       (42,8)
16                       (42,8)
17                       (42,8)
18                       (42,8)
19                       (42,8)
20                       (42,8)
21                       (42,8)
22                       (42,8)
23                       (42,8)
24                       (42,8)
25                       (42,8)
26                       (42,8)
27                       (42,8)
28                       (42,8)
29                       (42,8)
30                       (42,8)
31                       (42,8)
32                       (42,8)
33                       (42,8)
34                       (42,8)
35                       (42,8)
36                       (42,8)
37                       (42,8)
38                       (42,8)
39                       (42,8)
40                       (42,8)
41                       (42,8)
43                       (42,8)
44                       (42,8)
45                       (42,8)
46                       (42,8)
47                       (42,8)
48                       (42,8)
49                       (42,8)
-----------------------------------
Forwarding Table for Node 43:
Destination Node      Outgoing Link
0                       (43,8)
1                       (43,8)
2                       (43,8)
3                       (43,8)
4                       (43,8)
5                       (43,8)
6                       (43,8)
7                       (43,8)
8                       (43,8)
9                       (43,8)
10                       (43,8)
11                       (43,8)
12                       (43,8)
13                       (43,8)
14                       (43,8)
15                       (43,8)
16                       (43,8)
17                       (43,8)
18                       (43,8)
19                       (43,8)
20                       (43,8)
21                       (43,8)
22                       (43,8)
23                       (43,8)
24                       (43,8)
25                       (43,8)
26                       (43,8)
27                       (43,8)
28                       (43,8)
29                       (43,8)
30                       (43,8)
31                       (43,8)
32                       (43,8)
33                       (43,8)
34                       (43,8)
35                       (43,8)
36                       (43,8)
37                       (43,8)
38                       (43,8)
39                       (43,8)
40                       (43,8)
41                       (43,8)
42                       (43,8)
44                       (43,8)
45                       (43,8)
46                       (43,8)
47                       (43,8)
48                       (43,8)
49                       (43,8)
-----------------------------------
Forwarding Table for Node 44:
Destination Node      Outgoing Link
0                       (44,6)
1                       (44,6)
2                       (44,6)
3                       (44,6)
4                       (44,6)
5                       (44,6)
6                       (44,6)
7                       (44,6)
8                       (44,6)
9                       (44,6)
10                       (44,6)
11                       (44,6)
12                       (44,6)
13                       (44,6)
14                       (44,6)
15                       (44,6)
16                       (44,6)
17                       (44,6)
18                       (44,6)
19                       (44,6)
20                       (44,6)
21                       (44,6)
22                       (44,6)
23                       (44,6)
24                       (44,6)
25                       (44,6)
26                       (44,6)
27                       (44,6)
28                       (44,6)
29                       (44,6)
30                       (44,6)
31                       (44,6)
32                       (44,6)
33                       (44,6)
34                       (44,6)
35                       (44,6)
36                       (44,6)
37                       (44,6)
38                       (44,6)
39                       (44,6)
40                       (44,6)
41                       (44,6)
42                       (44,6)
43                       (44,6)
45                       (44,6)
46                       (44,6)
47                       (44,6)
48                       (44,6)
49                       (44,6)
-----------------------------------
Forwarding Table for Node 45:
Destination Node      Outgoing Link
0                       (45,11)
1                       (45,11)
2                       (45,11)
3                       (45,11)
4                       (45,11)
5                       (45,11)
6                       (45,11)
7                       (45,11)
8                       (45,11)
9                       (45,11)
10                       (45,11)
11                       (45,11)
12                       (45,11)
13                       (45,11)
14                       (45,11)
15                       (45,11)
16                       (45,11)
17                       (45,11)
18                       (45,11)
19                       (45,11)
20                       (45,11)
21                       (45,11)
22                       (45,11)
23                       (45,11)
24                       (45,11)
25                       (45,11)
26                       (45,11)
27                       (45,11)
28                       (45,11)
29                       (45,11)
30                       (45,11)
31                       (45,11)
32                       (45,11)
33                       (45,11)
34                       (45,11)
35                       (45,11)
36                       (45,11)
37                       (45,11)
38                       (45,11)
39                       (45,11)
40                       (45,11)
41                       (45,11)
42                       (45,11)
43                       (45,11)
44                       (45,11)
46                       (45,11)
47                       (45,11)
48                       (45,11)
49                       (45,11)
-----------------------------------
Forwarding Table for Node 46:
Destination Node      Outgoing Link
0                       (46,11)
1                       (46,11)
2                       (46,11)
3                       (46,11)
4                       (46,11)
5                       (46,11)
6                       (46,11)
7                       (46,11)
8                       (46,11)
9                       (46,11)
10                       (46,11)
11                       (46,11)
12                       (46,11)
13                       (46,11)
14                       (46,11)
15                       (46,11)
16                       (46,11)
17                       (46,11)
18                       (46,11)
19                       (46,11)
20                       (46,11)
21                       (46,11)
22                       (46,11)
23                       (46,11)
24                       (46,11)
25                       (46,11)
26                       (46,11)
27                       (46,11)
28                       (46,11)
29                       (46,11)
30                       (46,11)
31                       (46,11)
32                       (46,11)
33                       (46,11)
34                       (46,11)
35                       (46,11)
36                       (46,11)
37                       (46,11)
38                       (46,11)
39                       (46,11)
40                       (46,11)
41                       (46,11)
42                       (46,11)
43                       (46,11)
44                       (46,11)
45                       (46,11)
47                       (46,11)
48                       (46,11)
49                       (46,11)
-----------------------------------
Forwarding Table for Node 47:
Destination Node      Outgoing Link
0                       (47,6)
1                       (47,6)
2                       (47,6)
3                       (47,6)
4                       (47,6)
5                       (47,6)
6                       (47,6)
7                       (47,6)
8                       (47,6)
9                       (47,6)
10                       (47,6)
11                       (47,6)
12                       (47,6)
13                       (47,6)
14                       (47,6)
15                       (47,6)
16                       (47,6)
17                       (47,6)
18                       (47,6)
19                       (47,6)
20                       (47,6)
21                       (47,6)
22                       (47,6)
23                       (47,6)
24                       (47,6)
25                       (47,6)
26                       (47,6)
27                       (47,6)
28                       (47,6)
29                       (47,6)
30                       (47,6)
31                       (47,6)
32                       (47,6)
33                       (47,6)
34                       (47,6)
35                       (47,6)
36                       (47,6)
37                       (47,6)
38                       (47,6)
39                       (47,6)
40                       (47,6)
41                       (47,6)
42                       (47,6)
43                       (47,6)
44                       (47,6)
45                       (47,6)
46                       (47,6)
48                       (47,6)
49                       (47,6)
-----------------------------------
Forwarding Table for Node 48:
Destination Node      Outgoing Link
0                       (48,12)
1                       (48,12)
2                       (48,12)
3                       (48,12)
4                       (48,12)
5                       (48,12)
6                       (48,12)
7                       (48,12)
8                       (48,12)
9                       (48,12)
10                       (48,12)
11                       (48,12)
12                       (48,12)
13                       (48,12)
14                       (48,12)
15                       (48,12)
16                       (48,12)
17                       (48,12)
18                       (48,12)
19                       (48,12)
20                       (48,12)
21                       (48,12)
22                       (48,12)
23                       (48,12)
24                       (48,12)
25                       (48,12)
26                       (48,12)
27                       (48,12)
28                       (48,12)
29                       (48,12)
30                       (48,12)
31                       (48,12)
32                       (48,12)
33                       (48,12)
34                       (48,12)
35                       (48,12)
36                       (48,12)
37                       (48,12)
38                       (48,12)
39                       (48,12)
40                       (48,12)
41                       (48,12)
42                       (48,12)
43                       (48,12)
44                       (48,12)
45                       (48,12)
46                       (48,12)
47                       (48,12)
49                       (48,12)
-----------------------------------
Forwarding Table for Node 49:
Destination Node      Outgoing Link
0                       (49,11)
1                       (49,11)
2                       (49,11)
3                       (49,11)
4                       (49,11)
5                       (49,11)
6                       (49,11)
7                       (49,11)
8                       (49,11)
9                       (49,11)
10                       (49,11)
11                       (49,11)
12                       (49,11)
13                       (49,11)
14                       (49,11)
15                       (49,11)
16                       (49,11)
17                       (49,11)
18                       (49,11)
19                       (49,11)
20                       (49,11)
21                       (49,11)
22                       (49,11)
23                       (49,11)
24                       (49,11)
25                       (49,11)
26                       (49,11)
27                       (49,11)
28                       (49,11)
29                       (49,11)
30                       (49,11)
31                       (49,11)
32                       (49,11)
33                       (49,11)
34                       (49,11)
35                       (49,11)
36                       (49,11)
37                       (49,11)
38                       (49,11)
39                       (49,11)
40                       (49,11)
41                       (49,11)
42                       (49,11)
43                       (49,11)
44                       (49,11)
45                       (49,11)
46                       (49,11)
47                       (49,11)
48                       (49,11)
